City,Condition,Local-Time,Source-URL,Temperature,Scraped-At
Rome,Clear. Mild.,Tue 5:33 am,https://www.timeanddate.com/weather/italy/rome,68 °F,2026-09-15T03:33:58.870741+00:00
Baghdad,Clear. Pleasantly warm.,Tue 6:33 am,https://www.timeanddate.com/weather/iraq/baghdad,82 °F,2026-09-15T03:33:58.870741+00:00
Jerusalem,Refreshingly cool.,Tue 6:33 am,https://www.timeanddate.com/weather/israel/jerusalem,71 °F,2026-09-15T03:33:58.870741+00:00
Salt Lake City,Clear. Refreshingly cool.,Mon 9:33 pm,https://www.timeanddate.com/weather/usa/salt-lake-city,62 °F,2026-09-15T03:33:58.870741+00:00
Bangkok,Scattered clouds. Warm.,Tue 10:33 am,https://www.timeanddate.com/weather/thailand/bangkok,84 °F,2026-09-15T03:33:58.870741+00:00
Johannesburg,Cool.,Tue 5:33 am,https://www.timeanddate.com/weather/south-africa/johannesburg,55 °F,2026-09-15T03:33:58.870741+00:00
San Francisco,Passing clouds. Cool.,Mon 8:33 pm,https://www.timeanddate.com/weather/usa/san-francisco,62 °F,2026-09-15T03:33:58.870741+00:00
Barcelona,Clear. Mild.,Tue 5:33 am,https://www.timeanddate.com/weather/spain/barcelona,73 °F,2026-09-15T03:33:58.870741+00:00
Karachi,Scattered clouds. Warm.,Tue 8:33 am,https://www.timeanddate.com/weather/pakistan/karachi,84 °F,2026-09-15T03:33:58.870741+00:00
San Juan,Passing clouds. Warm.,Mon 11:33 pm,https://www.timeanddate.com/weather/puerto-rico/san-juan,83 °F,2026-09-15T03:33:58.870741+00:00
Beijing,Sunny. Warm.,Tue 11:33 am,https://www.timeanddate.com/weather/china/beijing,77 °F,2026-09-15T03:33:58.870741+00:00
Kathmandu,Broken clouds. Mild.,Tue 9:18 am,https://www.timeanddate.com/weather/nepal/kathmandu,73 °F,2026-09-15T03:33:58.870741+00:00
San Salvador,Passing clouds. Warm.,Mon 9:33 pm,https://www.timeanddate.com/weather/el-salvador/san-salvador,81 °F,2026-09-15T03:33:58.870741+00:00
Belgrade,Passing clouds. Mild.,Tue 5:33 am,https://www.timeanddate.com/weather/serbia/belgrade,63 °F,2026-09-15T03:33:58.870741+00:00
Kingston,Warm.,Mon 10:33 pm,https://www.timeanddate.com/weather/jamaica/kingston,85 °F,2026-09-15T03:33:58.870741+00:00
Santiago,Clear. Cool.,Tue 12:33 am,https://www.timeanddate.com/weather/chile/santiago,55 °F,2026-09-15T03:33:58.870741+00:00
Bengaluru,Scattered clouds. Warm.,Tue 9:03 am,https://www.timeanddate.com/weather/india/bengaluru,79 °F,2026-09-15T03:33:58.870741+00:00
Kinshasa,Passing clouds. Warm.,Tue 4:33 am,https://www.timeanddate.com/weather/congo-demrep/kinshasa,79 °F,2026-09-15T03:33:58.870741+00:00
Santo Domingo,Passing clouds. Warm.,Mon 11:33 pm,https://www.timeanddate.com/weather/dominican-republic/santo-domingo,83 °F,2026-09-15T03:33:58.870741+00:00
Berlin,Clear. Cool.,Tue 5:33 am,https://www.timeanddate.com/weather/germany/berlin,48 °F,2026-09-15T03:33:58.870741+00:00
Kiritimati,Broken clouds. Warm.,Tue 5:33 pm,https://www.timeanddate.com/weather/kiribati/kiritimati,88 °F,2026-09-15T03:33:58.870741+00:00
São Paulo,Low clouds. Cool.,Tue 12:33 am,https://www.timeanddate.com/weather/brazil/sao-paulo,57 °F,2026-09-15T03:33:58.870741+00:00
Bogota,Clear. Cool.,Mon 10:33 pm,https://www.timeanddate.com/weather/colombia/bogota,57 °F,2026-09-15T03:33:58.870741+00:00
Kolkata,Haze. Warm.,Tue 9:03 am,https://www.timeanddate.com/weather/india/kolkata,88 °F,2026-09-15T03:33:58.870741+00:00
Seattle,Passing clouds. Cool.,Mon 8:33 pm,https://www.timeanddate.com/weather/usa/seattle,62 °F,2026-09-15T03:33:58.870741+00:00
Boston,Clear. Refreshingly cool.,Mon 11:33 pm,https://www.timeanddate.com/weather/usa/boston,61 °F,2026-09-15T03:33:58.870741+00:00
Kuala Lumpur,Haze. Hot.,Tue 11:33 am,https://www.timeanddate.com/weather/malaysia/kuala-lumpur,90 °F,2026-09-15T03:33:58.870741+00:00
Seoul,Passing clouds. Pleasantly warm.,Tue 12:33 pm,https://www.timeanddate.com/weather/south-korea/seoul,77 °F,2026-09-15T03:33:58.870741+00:00
Brasilia,Passing clouds. Mild.,Tue 12:33 am,https://www.timeanddate.com/weather/brazil/brasilia,75 °F,2026-09-15T03:33:58.870741+00:00
Kuwait City,Clear. Warm.,Tue 6:33 am,https://www.timeanddate.com/weather/kuwait/kuwait-city,79 °F,2026-09-15T03:33:58.870741+00:00
Shanghai,Passing clouds. Warm.,Tue 11:33 am,https://www.timeanddate.com/weather/china/shanghai,82 °F,2026-09-15T03:33:58.870741+00:00
Brisbane,Mild.,Tue 1:33 pm,https://www.timeanddate.com/weather/australia/brisbane,78 °F,2026-09-15T03:33:58.870741+00:00
Kyiv,Passing clouds. Cool.,Tue 6:33 am,https://www.timeanddate.com/weather/ukraine/kyiv,55 °F,2026-09-15T03:33:58.870741+00:00
Singapore,Partly sunny. Warm.,Tue 11:33 am,https://www.timeanddate.com/weather/singapore/singapore,86 °F,2026-09-15T03:33:58.870741+00:00
Brussels,Clear. Cool.,Tue 5:33 am,https://www.timeanddate.com/weather/belgium/brussels,61 °F,2026-09-15T03:33:58.870741+00:00
La Paz,Clear. Cool.,Mon 11:33 pm,https://www.timeanddate.com/weather/bolivia/la-paz,51 °F,2026-09-15T03:33:58.870741+00:00
Sofia,Passing clouds. Cool.,Tue 6:33 am,https://www.timeanddate.com/weather/bulgaria/sofia,55 °F,2026-09-15T03:33:58.870741+00:00
Bucharest,Clear. Cool.,Tue 6:33 am,https://www.timeanddate.com/weather/romania/bucharest,54 °F,2026-09-15T03:33:58.870741+00:00
Lagos,Passing clouds. Warm.,Tue 4:33 am,https://www.timeanddate.com/weather/nigeria/lagos,77 °F,2026-09-15T03:33:58.870741+00:00
St. John's,Passing clouds. Mild.,Tue 1:03 am,https://www.timeanddate.com/weather/canada/st-johns,64 °F,2026-09-15T03:33:58.870741+00:00
Budapest,Passing clouds. Cool.,Tue 5:33 am,https://www.timeanddate.com/weather/hungary/budapest,52 °F,2026-09-15T03:33:58.870741+00:00
Lahore,Scattered clouds. Warm.,Tue 8:33 am,https://www.timeanddate.com/weather/pakistan/lahore,81 °F,2026-09-15T03:33:58.870741+00:00
Stockholm,Mostly cloudy. Cool.,Tue 5:33 am,https://www.timeanddate.com/weather/sweden/stockholm,59 °F,2026-09-15T03:33:58.870741+00:00
Buenos Aires,Clear. Cool.,Tue 12:33 am,https://www.timeanddate.com/weather/argentina/buenos-aires,54 °F,2026-09-15T03:33:58.870741+00:00
Las Vegas,Passing clouds. Extremely hot.,Mon 8:33 pm,https://www.timeanddate.com/weather/usa/las-vegas,99 °F,2026-09-15T03:33:58.870741+00:00
Suva,Partly sunny. Warm.,Tue 3:33 pm,https://www.timeanddate.com/weather/fiji/suva,77 °F,2026-09-15T03:33:58.870741+00:00
Cairo,Clear. Mild.,Tue 6:33 am,https://www.timeanddate.com/weather/egypt/cairo,75 °F,2026-09-15T03:33:58.870741+00:00
Lima,Passing clouds. Mild.,Mon 10:33 pm,https://www.timeanddate.com/weather/peru/lima,70 °F,2026-09-15T03:33:58.870741+00:00
Sydney,Sunny. Mild.,Tue 1:33 pm,https://www.timeanddate.com/weather/australia/sydney,70 °F,2026-09-15T03:33:58.870741+00:00
Calgary,Overcast. Cool.,Mon 9:33 pm,https://www.timeanddate.com/weather/canada/calgary,52 °F,2026-09-15T03:33:58.870741+00:00
Lisbon,Clear. Mild.,Tue 4:33 am,https://www.timeanddate.com/weather/portugal/lisbon,68 °F,2026-09-15T03:33:58.870741+00:00
Taipei,Partly sunny. Warm.,Tue 11:33 am,https://www.timeanddate.com/weather/taiwan/taipei,82 °F,2026-09-15T03:33:58.870741+00:00
Canberra,Passing clouds. Refreshingly cool.,Tue 1:33 pm,https://www.timeanddate.com/weather/australia/canberra,61 °F,2026-09-15T03:33:58.870741+00:00
London,Low clouds. Mild.,Tue 4:33 am,https://www.timeanddate.com/weather/uk/london,64 °F,2026-09-15T03:33:58.870741+00:00
Tallinn,Clear. Quite cool.,Tue 6:33 am,https://www.timeanddate.com/weather/estonia/tallinn,43 °F,2026-09-15T03:33:58.870741+00:00
Cape Town,Partly cloudy. Cool.,Tue 5:33 am,https://www.timeanddate.com/weather/south-africa/cape-town,57 °F,2026-09-15T03:33:58.870741+00:00
Los Angeles,Clear. Mild.,Mon 8:33 pm,https://www.timeanddate.com/weather/usa/los-angeles,73 °F,2026-09-15T03:33:58.870741+00:00
Tashkent,Clear. Mild.,Tue 8:33 am,https://www.timeanddate.com/weather/uzbekistan/tashkent,64 °F,2026-09-15T03:33:58.870741+00:00
Caracas,Passing clouds. Warm.,Mon 11:33 pm,https://www.timeanddate.com/weather/venezuela/caracas,79 °F,2026-09-15T03:33:58.870741+00:00
Madrid,Clear. Mild.,Tue 5:33 am,https://www.timeanddate.com/weather/spain/madrid,70 °F,2026-09-15T03:33:58.870741+00:00
Tegucigalpa,Passing clouds. Mild.,Mon 9:33 pm,https://www.timeanddate.com/weather/honduras/tegucigalpa,72 °F,2026-09-15T03:33:58.870741+00:00
Casablanca,Mild.,Tue 4:33 am,https://www.timeanddate.com/weather/morocco/casablanca,73 °F,2026-09-15T03:33:58.870741+00:00
Managua,Passing clouds. Warm.,Mon 9:33 pm,https://www.timeanddate.com/weather/nicaragua/managua,77 °F,2026-09-15T03:33:58.870741+00:00
Tehran,Sunny. Mild.,Tue 7:03 am,https://www.timeanddate.com/weather/iran/tehran,70 °F,2026-09-15T03:33:58.870741+00:00
Chicago,Passing clouds. Mild.,Mon 10:33 pm,https://www.timeanddate.com/weather/usa/chicago,68 °F,2026-09-15T03:33:58.870741+00:00
Manila,Scattered clouds. Warm.,Tue 11:33 am,https://www.timeanddate.com/weather/philippines/manila,83 °F,2026-09-15T03:33:58.870741+00:00
Tokyo,Broken clouds. Warm.,Tue 12:33 pm,https://www.timeanddate.com/weather/japan/tokyo,77 °F,2026-09-15T03:33:58.870741+00:00
Copenhagen,Passing clouds. Cool.,Tue 5:33 am,https://www.timeanddate.com/weather/denmark/copenhagen,52 °F,2026-09-15T03:33:58.870741+00:00
Melbourne,Partly sunny. Refreshingly cool.,Tue 1:33 pm,https://www.timeanddate.com/weather/australia/melbourne,57 °F,2026-09-15T03:33:58.870741+00:00
Toronto,Passing clouds. Refreshingly cool.,Mon 11:33 pm,https://www.timeanddate.com/weather/canada/toronto,61 °F,2026-09-15T03:33:58.870741+00:00
Dallas,Clear. Hot.,Mon 10:33 pm,https://www.timeanddate.com/weather/usa/dallas,92 °F,2026-09-15T03:33:58.870741+00:00
Mexico City,Thunderstorms. Mostly cloudy. Mild.,Mon 9:33 pm,https://www.timeanddate.com/weather/mexico/mexico-city,63 °F,2026-09-15T03:33:58.870741+00:00
Vancouver,Mostly cloudy. Cool.,Mon 8:33 pm,https://www.timeanddate.com/weather/canada/vancouver,61 °F,2026-09-15T03:33:58.870741+00:00
Dar es Salaam,Passing clouds. Mild.,Tue 6:33 am,https://www.timeanddate.com/weather/tanzania/dar-es-salaam,73 °F,2026-09-15T03:33:58.870741+00:00
Miami,Passing clouds. Warm.,Mon 11:33 pm,https://www.timeanddate.com/weather/usa/miami,84 °F,2026-09-15T03:33:58.870741+00:00
Vienna,Clear. Cool.,Tue 5:33 am,https://www.timeanddate.com/weather/austria/vienna,55 °F,2026-09-15T03:33:58.870741+00:00
Darwin,Passing clouds. Hot.,Tue 1:03 pm,https://www.timeanddate.com/weather/australia/darwin,90 °F,2026-09-15T03:33:58.870741+00:00
Minneapolis,Overcast. Cool.,Mon 10:33 pm,https://www.timeanddate.com/weather/usa/minneapolis,59 °F,2026-09-15T03:33:58.870741+00:00
Warsaw,Fog. Cool.,Tue 5:33 am,https://www.timeanddate.com/weather/poland/warsaw,54 °F,2026-09-15T03:33:58.870741+00:00
Denver,Passing clouds. Mild.,Mon 9:33 pm,https://www.timeanddate.com/weather/usa/denver,71 °F,2026-09-15T03:33:58.870741+00:00
Minsk,Passing clouds. Cool.,Tue 6:33 am,https://www.timeanddate.com/weather/belarus/minsk,55 °F,2026-09-15T03:33:58.870741+00:00
Washington DC,Clear. Mild.,Mon 11:33 pm,https://www.timeanddate.com/weather/usa/washington-dc,69 °F,2026-09-15T03:33:58.870741+00:00
Detroit,Clear. Refreshingly cool.,Mon 11:33 pm,https://www.timeanddate.com/weather/usa/detroit,62 °F,2026-09-15T03:33:58.870741+00:00
Montevideo,Fog. Quite cool.,Tue 12:33 am,https://www.timeanddate.com/weather/uruguay/montevideo,43 °F,2026-09-15T03:33:58.870741+00:00
Winnipeg,Cool.,Mon 10:33 pm,https://www.timeanddate.com/weather/canada/winnipeg,56 °F,2026-09-15T03:33:58.870741+00:00
Dhaka,Scattered clouds. Warm.,Tue 9:33 am,https://www.timeanddate.com/weather/bangladesh/dhaka,82 °F,2026-09-15T03:33:58.870741+00:00
Montréal,Clear. Cool.,Mon 11:33 pm,https://www.timeanddate.com/weather/canada/montreal,52 °F,2026-09-15T03:33:58.870741+00:00
Yangon,Partly sunny. Warm.,Tue 10:03 am,https://www.timeanddate.com/weather/myanmar/yangon,81 °F,2026-09-15T03:33:58.870741+00:00
Doha,Clear. Warm.,Tue 6:33 am,https://www.timeanddate.com/weather/qatar/doha,88 °F,2026-09-15T03:33:58.870741+00:00
Moscow,Overcast. Cool.,Tue 6:33 am,https://www.timeanddate.com/weather/russia/moscow,52 °F,2026-09-15T03:33:58.870741+00:00
Zagreb,Light fog. Cool.,Tue 5:33 am,https://www.timeanddate.com/weather/croatia/zagreb,55 °F,2026-09-15T03:33:58.870741+00:00
Dubai,Sunny. Warm.,Tue 7:33 am,https://www.timeanddate.com/weather/united-arab-emirates/dubai,88 °F,2026-09-15T03:33:58.870741+00:00
Mumbai,Fog. Warm.,Tue 9:03 am,https://www.timeanddate.com/weather/india/mumbai,82 °F,2026-09-15T03:33:58.870741+00:00
Zürich,Clear. Cool.,Tue 5:33 am,https://www.timeanddate.com/weather/switzerland/zurich,54 °F,2026-09-15T03:33:58.870741+00:00
Dublin,Passing clouds. Cool.,Tue 4:33 am,https://www.timeanddate.com/weather/ireland/dublin,55 °F,2026-09-15T03:33:58.870741+00:00
Nairobi,Passing clouds. Mild.,Tue 6:33 am,https://www.timeanddate.com/weather/kenya/nairobi,63 °F,2026-09-15T03:33:58.870741+00:00
