city,condition,local_time,source_url,scraped_at,temperature_f,temperature_c,country
St. John's,Clear. Cool.,Fri 1:17 am,https://www.timeanddate.com/weather/canada/st-johns,2026-09-04 03:47:52.737343+00:00,52,11.1,canada
Budapest,Passing clouds. Cool.,Fri 5:47 am,https://www.timeanddate.com/weather/hungary/budapest,2026-09-04 03:47:52.737343+00:00,61,16.1,hungary
Lahore,Scattered clouds. Hot.,Fri 8:47 am,https://www.timeanddate.com/weather/pakistan/lahore,2026-09-04 03:47:52.737343+00:00,90,32.2,pakistan
Stockholm,Light fog. Quite cool.,Fri 5:47 am,https://www.timeanddate.com/weather/sweden/stockholm,2026-09-04 03:47:52.737343+00:00,43,6.1,sweden
Buenos Aires,Passing clouds. Cool.,Fri 12:47 am,https://www.timeanddate.com/weather/argentina/buenos-aires,2026-09-04 03:47:52.737343+00:00,55,12.8,argentina
Las Vegas,Sunny. Extremely hot.,Thu 8:47 pm,https://www.timeanddate.com/weather/usa/las-vegas,2026-09-04 03:47:52.737343+00:00,95,35.0,usa
Suva,Overcast. Mild.,Fri 3:47 pm,https://www.timeanddate.com/weather/fiji/suva,2026-09-04 03:47:52.737343+00:00,76,24.4,fiji
Cairo,Clear. Warm.,Fri 6:47 am,https://www.timeanddate.com/weather/egypt/cairo,2026-09-04 03:47:52.737343+00:00,77,25.0,egypt
Lima,Overcast. Mild.,Thu 10:47 pm,https://www.timeanddate.com/weather/peru/lima,2026-09-04 03:47:52.737343+00:00,71,21.7,peru
Sydney,Passing clouds. Mild.,Fri 1:47 pm,https://www.timeanddate.com/weather/australia/sydney,2026-09-04 03:47:52.737343+00:00,73,22.8,australia
Calgary,Passing clouds. Refreshingly cool.,Thu 9:47 pm,https://www.timeanddate.com/weather/canada/calgary,2026-09-04 03:47:52.737343+00:00,61,16.1,canada
Lisbon,Clear. Warm.,Fri 4:47 am,https://www.timeanddate.com/weather/portugal/lisbon,2026-09-04 03:47:52.737343+00:00,79,26.1,portugal
Taipei,Rain showers. Cloudy. Warm.,Fri 11:47 am,https://www.timeanddate.com/weather/taiwan/taipei,2026-09-04 03:47:52.737343+00:00,79,26.1,taiwan
Canberra,Sunny. Mild.,Fri 1:47 pm,https://www.timeanddate.com/weather/australia/canberra,2026-09-04 03:47:52.737343+00:00,63,17.2,australia
London,Overcast. Mild.,Fri 4:47 am,https://www.timeanddate.com/weather/uk/london,2026-09-04 03:47:52.737343+00:00,68,20.0,uk
Tallinn,Passing clouds. Cool.,Fri 6:47 am,https://www.timeanddate.com/weather/estonia/tallinn,2026-09-04 03:47:52.737343+00:00,52,11.1,estonia
Cape Town,Passing clouds. Cool.,Fri 5:47 am,https://www.timeanddate.com/weather/south-africa/cape-town,2026-09-04 03:47:52.737343+00:00,59,15.0,south-africa
Los Angeles,Clear. Mild.,Thu 8:47 pm,https://www.timeanddate.com/weather/usa/los-angeles,2026-09-04 03:47:52.737343+00:00,71,21.7,usa
Tashkent,Passing clouds. Mild.,Fri 8:47 am,https://www.timeanddate.com/weather/uzbekistan/tashkent,2026-09-04 03:47:52.737343+00:00,66,18.9,uzbekistan
Caracas,Passing clouds. Warm.,Thu 11:47 pm,https://www.timeanddate.com/weather/venezuela/caracas,2026-09-04 03:47:52.737343+00:00,82,27.8,venezuela
Madrid,Clear. Mild.,Fri 5:47 am,https://www.timeanddate.com/weather/spain/madrid,2026-09-04 03:47:52.737343+00:00,70,21.1,spain
Tegucigalpa,Passing clouds. Mild.,Thu 9:47 pm,https://www.timeanddate.com/weather/honduras/tegucigalpa,2026-09-04 03:47:52.737343+00:00,75,23.9,honduras
Casablanca,Mild.,Fri 4:47 am,https://www.timeanddate.com/weather/morocco/casablanca,2026-09-04 03:47:52.737343+00:00,75,23.9,morocco
